Time,Total Motor Energy
31.752,8845.104
31.776,8845.104
31.800,8845.104
31.824,8845.524
31.848,8846.102
31.872,8846.700
31.896,8847.309
31.920,8847.869
31.944,8848.427
33.287,8848.427
33.312,8848.427
33.336,8881.103
33.360,8882.473
33.384,8888.505
33.408,8899.044
33.432,8913.163
33.456,8925.592
33.480,8937.765
33.504,8949.421
33.528,8961.854
33.552,8975.754
33.576,8991.251
33.600,9007.759
33.624,9024.511
33.648,9039.249
33.672,9051.873
33.696,9063.650
33.720,9074.703
33.744,9085.533
33.768,9096.204
33.792,9106.718
33.816,9117.055
33.840,9127.229
33.864,9137.070
33.888,9146.732
33.912,9156.229
33.936,9165.546
33.960,9174.680
33.984,9183.644
34.008,9192.422
34.032,9201.016
34.056,9209.434
34.080,9217.664
34.104,9225.705
34.128,9233.568
34.152,9241.238
34.176,9248.735
34.200,9256.054
34.224,9263.180
34.248,9270.114
34.272,9276.865
34.296,9283.419
34.320,9289.777
34.344,9295.947
34.368,9301.916
34.392,9307.686
34.416,9313.369
34.440,9318.853
34.464,9324.139
34.488,9329.232
34.512,9334.127
34.536,9338.818
34.560,9343.313
34.584,9347.604
34.608,9351.688
34.632,9355.502
34.656,9359.117
34.680,9362.529
34.704,9365.743
34.728,9368.751
34.752,9371.552
34.776,9374.158
34.800,9376.538
34.824,9378.635
34.848,9378.635
34.872,9380.534
34.896,9389.418
34.920,9405.639
34.944,9428.994
34.968,9454.001
34.992,9472.745
35.016,9487.931
35.040,9501.992
35.064,9515.508
35.088,9527.863
35.112,9539.474
35.136,9550.575
35.160,9561.174
35.184,9571.364
35.208,9581.188
35.232,9590.685
35.256,9599.881
35.280,9608.822
35.304,9617.601
35.328,9626.160
35.352,9634.515
35.376,9642.674
35.400,9650.652
35.424,9658.462
35.448,9666.145
35.472,9674.067
35.496,9679.875
35.520,9679.875
35.544,9679.875
35.568,9679.875
35.592,9679.875
35.616,9684.356
35.640,9693.593
35.664,9702.805
35.688,9708.646
35.712,9712.920
35.736,9717.361
35.760,9722.064
35.784,9726.940
35.808,9731.751
35.832,9736.589
35.856,9741.447
35.880,9746.328
35.904,9751.231
35.928,9756.156
35.952,9761.104
35.976,9766.077
36.000,9771.096
36.024,9776.144
36.048,9781.223
36.072,9786.326
36.096,9791.457
36.120,9796.616
36.144,9801.803
36.168,9807.020
36.192,9812.255
36.216,9817.521
36.240,9822.823
36.264,9828.157
